data-object-id,data-original-title,list_entry_id,film_slug,URL
filmListEntry:3080978662,"Ludo (2015) ",filmListEntry:3080978662,ludo-2015,https://letterboxd.com/film/ludo-2015/
filmListEntry:3080978663,"The Wicker Man (1973) ",filmListEntry:3080978663,the-wicker-man,https://letterboxd.com/film/the-wicker-man/
filmListEntry:3080978664,"Hellraiser (1987) ",filmListEntry:3080978664,hellraiser,https://letterboxd.com/film/hellraiser/
filmListEntry:3080978665,"Hellbound: Hellraiser II (1988) ",filmListEntry:3080978665,hellbound-hellraiser-ii,https://letterboxd.com/film/hellbound-hellraiser-ii/
filmListEntry:3080978666,"A Nightmare on Elm Street (1984) ",filmListEntry:3080978666,a-nightmare-on-elm-street,https://letterboxd.com/film/a-nightmare-on-elm-street/
filmListEntry:3080978667,"A Nightmare on Elm Street 3: Dream Warriors (1987) ",filmListEntry:3080978667,a-nightmare-on-elm-street-3-dream-warriors,https://letterboxd.com/film/a-nightmare-on-elm-street-3-dream-warriors/
filmListEntry:3080978668,"The Texas Chain Saw Massacre (1974) ",filmListEntry:3080978668,the-texas-chain-saw-massacre,https://letterboxd.com/film/the-texas-chain-saw-massacre/
filmListEntry:3080978669,"Halloween (1978) ",filmListEntry:3080978669,halloween-1978,https://letterboxd.com/film/halloween-1978/
filmListEntry:3080978670,"Halloween II (1981) ",filmListEntry:3080978670,halloween-ii-1981,https://letterboxd.com/film/halloween-ii-1981/
filmListEntry:3080978671,"Kill List (2011) ",filmListEntry:3080978671,kill-list,https://letterboxd.com/film/kill-list/
filmListEntry:3080978672,"Deep Red (1975) ",filmListEntry:3080978672,deep-red,https://letterboxd.com/film/deep-red/
filmListEntry:3080978673,"Witchfinder General (1968) ",filmListEntry:3080978673,witchfinder-general,https://letterboxd.com/film/witchfinder-general/
filmListEntry:3080978674,"Apostle (2018) ",filmListEntry:3080978674,apostle-2018,https://letterboxd.com/film/apostle-2018/
filmListEntry:3080978675,"Blair Witch (2016) ",filmListEntry:3080978675,blair-witch,https://letterboxd.com/film/blair-witch/
filmListEntry:3080978676,"Midsommar (2019) ",filmListEntry:3080978676,midsommar,https://letterboxd.com/film/midsommar/
filmListEntry:3080978677,"Creep (2014) ",filmListEntry:3080978677,creep-2014,https://letterboxd.com/film/creep-2014/
filmListEntry:3080978678,"The Descent (2005) ",filmListEntry:3080978678,the-descent,https://letterboxd.com/film/the-descent/
filmListEntry:3080978679,"Housebound (2014) ",filmListEntry:3080978679,housebound,https://letterboxd.com/film/housebound/
filmListEntry:3080978680,"Dead Ringers (1988) ",filmListEntry:3080978680,dead-ringers,https://letterboxd.com/film/dead-ringers/
filmListEntry:3080978681,"Blood Quantum (2019) ",filmListEntry:3080978681,blood-quantum,https://letterboxd.com/film/blood-quantum/
filmListEntry:3080978682,"I Still Know What You Did Last Summer (1998) ",filmListEntry:3080978682,i-still-know-what-you-did-last-summer,https://letterboxd.com/film/i-still-know-what-you-did-last-summer/
filmListEntry:3080978683,"Scream 4 (2011) ",filmListEntry:3080978683,scream-4,https://letterboxd.com/film/scream-4/
filmListEntry:3080978684,"Final Destination (2000) ",filmListEntry:3080978684,final-destination,https://letterboxd.com/film/final-destination/
filmListEntry:3080978685,"Paranormal Activity (2007) ",filmListEntry:3080978685,paranormal-activity,https://letterboxd.com/film/paranormal-activity/
filmListEntry:3080978686,"Paranormal Activity 3 (2011) ",filmListEntry:3080978686,paranormal-activity-3,https://letterboxd.com/film/paranormal-activity-3/
filmListEntry:3080978687,"Child's Play (1988) ",filmListEntry:3080978687,childs-play,https://letterboxd.com/film/childs-play/
filmListEntry:3080978688,"Candyman (1992) ",filmListEntry:3080978688,candyman,https://letterboxd.com/film/candyman/
filmListEntry:3080978689,"Vampires vs. the Bronx (2020) ",filmListEntry:3080978689,vampires-vs-the-bronx,https://letterboxd.com/film/vampires-vs-the-bronx/
filmListEntry:3080978690,"We Summon the Darkness (2019) ",filmListEntry:3080978690,we-summon-the-darkness,https://letterboxd.com/film/we-summon-the-darkness/
filmListEntry:3080978691,"His House (2020) ",filmListEntry:3080978691,his-house,https://letterboxd.com/film/his-house/
filmListEntry:3080978692,"Us (2019) ",filmListEntry:3080978692,us-2019,https://letterboxd.com/film/us-2019/
filmListEntry:3080978693,"1BR (2019) ",filmListEntry:3080978693,1br,https://letterboxd.com/film/1br/
filmListEntry:3080978694,"Host (2020) ",filmListEntry:3080978694,host-2020,https://letterboxd.com/film/host-2020/
filmListEntry:3080978695,"Nightbreed (1990) ",filmListEntry:3080978695,nightbreed,https://letterboxd.com/film/nightbreed/
filmListEntry:3080978696,"Sweetheart (2019) ",filmListEntry:3080978696,sweetheart-2019,https://letterboxd.com/film/sweetheart-2019/
filmListEntry:3080978697,"Knife+Heart (2018) ",filmListEntry:3080978697,knife-heart,https://letterboxd.com/film/knife-heart/
filmListEntry:3080978698,"Tremors (1990) ",filmListEntry:3080978698,tremors,https://letterboxd.com/film/tremors/
filmListEntry:3080978699,"Killer Klowns from Outer Space (1988) ",filmListEntry:3080978699,killer-klowns-from-outer-space,https://letterboxd.com/film/killer-klowns-from-outer-space/
filmListEntry:3080978700,"Black Christmas (2019) ",filmListEntry:3080978700,black-christmas-2019,https://letterboxd.com/film/black-christmas-2019/
filmListEntry:3080978701,"The Silence of the Lambs (1991) ",filmListEntry:3080978701,the-silence-of-the-lambs,https://letterboxd.com/film/the-silence-of-the-lambs/
filmListEntry:3080978702,"Possessor (2020) ",filmListEntry:3080978702,possessor,https://letterboxd.com/film/possessor/
filmListEntry:3080978703,"Impetigore (2019) ",filmListEntry:3080978703,impetigore,https://letterboxd.com/film/impetigore/
filmListEntry:3080978704,"The Golem (2018) ",filmListEntry:3080978704,the-golem-2018,https://letterboxd.com/film/the-golem-2018/
filmListEntry:3080978705,"#Alive (2020) ",filmListEntry:3080978705,alive-2020,https://letterboxd.com/film/alive-2020/
filmListEntry:3080978706,"Happy Death Day (2017) ",filmListEntry:3080978706,happy-death-day,https://letterboxd.com/film/happy-death-day/
filmListEntry:3080978707,"Wrong Turn (2021) ",filmListEntry:3080978707,wrong-turn-2021,https://letterboxd.com/film/wrong-turn-2021/
filmListEntry:3080978708,"Cold Prey (2006) ",filmListEntry:3080978708,cold-prey,https://letterboxd.com/film/cold-prey/
filmListEntry:3080978709,"Cold Prey II (2008) ",filmListEntry:3080978709,cold-prey-ii,https://letterboxd.com/film/cold-prey-ii/
filmListEntry:3080978710,"Disturbing Behavior (1998) ",filmListEntry:3080978710,disturbing-behavior,https://letterboxd.com/film/disturbing-behavior/
filmListEntry:3080978711,"Soul Survivors (2001) ",filmListEntry:3080978711,soul-survivors,https://letterboxd.com/film/soul-survivors/
filmListEntry:3080978712,"Society (1989) ",filmListEntry:3080978712,society,https://letterboxd.com/film/society/
filmListEntry:3080978713,"The Gate (1987) ",filmListEntry:3080978713,the-gate,https://letterboxd.com/film/the-gate/
filmListEntry:3080978714,"Daughters of Darkness (1971) ",filmListEntry:3080978714,daughters-of-darkness,https://letterboxd.com/film/daughters-of-darkness/
filmListEntry:3080978715,"[REC] (2007) ",filmListEntry:3080978715,rec,https://letterboxd.com/film/rec/
filmListEntry:3080978716,"The Cabin in the Woods (2011) ",filmListEntry:3080978716,the-cabin-in-the-woods,https://letterboxd.com/film/the-cabin-in-the-woods/
filmListEntry:3080978717,"The Endless (2017) ",filmListEntry:3080978717,the-endless,https://letterboxd.com/film/the-endless/
filmListEntry:3081052543,"The Evil Dead (1981) ",filmListEntry:3081052543,the-evil-dead,https://letterboxd.com/film/the-evil-dead/
filmListEntry:3081052544,"Evil Dead II (1987) ",filmListEntry:3081052544,evil-dead-ii,https://letterboxd.com/film/evil-dead-ii/
filmListEntry:3081052545,"You're Next (2011) ",filmListEntry:3081052545,youre-next,https://letterboxd.com/film/youre-next/
filmListEntry:3081052546,"Dawn of the Dead (2004) ",filmListEntry:3081052546,dawn-of-the-dead-2004,https://letterboxd.com/film/dawn-of-the-dead-2004/
filmListEntry:3081052547,"Saw (2004) ",filmListEntry:3081052547,saw,https://letterboxd.com/film/saw/
filmListEntry:3081052548,"Drag Me to Hell (2009) ",filmListEntry:3081052548,drag-me-to-hell,https://letterboxd.com/film/drag-me-to-hell/
filmListEntry:3081052549,"The Fog (1980) ",filmListEntry:3081052549,the-fog,https://letterboxd.com/film/the-fog/
filmListEntry:3081052550,"Children of the Corn (1984) ",filmListEntry:3081052550,children-of-the-corn,https://letterboxd.com/film/children-of-the-corn/
filmListEntry:3081052551,"House (1977) ",filmListEntry:3081052551,house,https://letterboxd.com/film/house/
filmListEntry:3081052552,"Rare Exports: A Christmas Tale (2010) ",filmListEntry:3081052552,rare-exports-a-christmas-tale,https://letterboxd.com/film/rare-exports-a-christmas-tale/
filmListEntry:3081056528,"All Cheerleaders Die (2013) ",filmListEntry:3081056528,all-cheerleaders-die,https://letterboxd.com/film/all-cheerleaders-die/
filmListEntry:3082075675,"Slaughterbots (2017) ",filmListEntry:3082075675,slaughterbots,https://letterboxd.com/film/slaughterbots/
filmListEntry:3082075676,"Skyline (2010) ",filmListEntry:3082075676,skyline,https://letterboxd.com/film/skyline/
filmListEntry:3082075677,"Jennifer's Body (2009) ",filmListEntry:3082075677,jennifers-body,https://letterboxd.com/film/jennifers-body/
filmListEntry:3085548715,"Hush (2016) ",filmListEntry:3085548715,hush-2016,https://letterboxd.com/film/hush-2016/
filmListEntry:3086239503,"[REC]² (2009) ",filmListEntry:3086239503,rec-2,https://letterboxd.com/film/rec-2/
filmListEntry:3093417991,"Slither (2006) ",filmListEntry:3093417991,slither,https://letterboxd.com/film/slither/
filmListEntry:3105348486,"The Wicker Man (2006) ",filmListEntry:3105348486,the-wicker-man-2006,https://letterboxd.com/film/the-wicker-man-2006/
filmListEntry:3126072566,"Blood Beach (1980) ",filmListEntry:3126072566,blood-beach,https://letterboxd.com/film/blood-beach/
filmListEntry:3126072567,"The Ring (2002) ",filmListEntry:3126072567,the-ring-2002,https://letterboxd.com/film/the-ring-2002/
filmListEntry:3126072568,"Fear Street: 1994 (2021) ",filmListEntry:3126072568,fear-street-1994,https://letterboxd.com/film/fear-street-1994/
filmListEntry:3141863887,"The Slumber Party Massacre (1982) ",filmListEntry:3141863887,the-slumber-party-massacre,https://letterboxd.com/film/the-slumber-party-massacre/
filmListEntry:3141863888,"Paganini Horror (1989) ",filmListEntry:3141863888,paganini-horror,https://letterboxd.com/film/paganini-horror/
filmListEntry:3141863889,"A Nightmare on Elm Street Part 2: Freddy's Revenge (1985) ",filmListEntry:3141863889,a-nightmare-on-elm-street-part-2-freddys-revenge,https://letterboxd.com/film/a-nightmare-on-elm-street-part-2-freddys-revenge/
filmListEntry:3141863890,"Carrie (1976) ",filmListEntry:3141863890,carrie-1976,https://letterboxd.com/film/carrie-1976/
filmListEntry:3141863891,"Friday the 13th Part III (1982) ",filmListEntry:3141863891,friday-the-13th-part-iii,https://letterboxd.com/film/friday-the-13th-part-iii/
filmListEntry:3141863892,"Don't Breathe (2016) ",filmListEntry:3141863892,dont-breathe-2016,https://letterboxd.com/film/dont-breathe-2016/
filmListEntry:3153123686,"Noroi: The Curse (2005) ",filmListEntry:3153123686,noroi-the-curse,https://letterboxd.com/film/noroi-the-curse/
filmListEntry:3153123687,"Hansel & Gretel (2007) ",filmListEntry:3153123687,hansel-gretel-2007,https://letterboxd.com/film/hansel-gretel-2007/
filmListEntry:3153123688,"Kwaidan (1964) ",filmListEntry:3153123688,kwaidan,https://letterboxd.com/film/kwaidan/
filmListEntry:3153123689,"Viy (1967) ",filmListEntry:3153123689,viy,https://letterboxd.com/film/viy/
filmListEntry:3162442538,"Halloween Kills (2021) ",filmListEntry:3162442538,halloween-kills,https://letterboxd.com/film/halloween-kills/
filmListEntry:3162442539,"Candyman (2021) ",filmListEntry:3162442539,candyman-2021,https://letterboxd.com/film/candyman-2021/
filmListEntry:3162442540,"Terror Train (1980) ",filmListEntry:3162442540,terror-train,https://letterboxd.com/film/terror-train/
filmListEntry:3177983635,"Lamb (2021) ",filmListEntry:3177983635,lamb-2021,https://letterboxd.com/film/lamb-2021/
filmListEntry:3177983636,"The Peanut Butter Solution (1985) ",filmListEntry:3177983636,the-peanut-butter-solution,https://letterboxd.com/film/the-peanut-butter-solution/
filmListEntry:3177983637,"Wishmaster (1997) ",filmListEntry:3177983637,wishmaster,https://letterboxd.com/film/wishmaster/
filmListEntry:3177983638,"A Tale of Two Sisters (2003) ",filmListEntry:3177983638,a-tale-of-two-sisters,https://letterboxd.com/film/a-tale-of-two-sisters/
filmListEntry:3178725297,"The Grudge (2004) ",filmListEntry:3178725297,the-grudge,https://letterboxd.com/film/the-grudge/
filmListEntry:3185156954,"C.H.U.D. (1984) ",filmListEntry:3185156954,chud,https://letterboxd.com/film/chud/
filmListEntry:3185156955,"Girl on the Third Floor (2019) ",filmListEntry:3185156955,girl-on-the-third-floor-2019,https://letterboxd.com/film/girl-on-the-third-floor-2019/
filmListEntry:3187703767,"In the Earth (2021) ",filmListEntry:3187703767,in-the-earth,https://letterboxd.com/film/in-the-earth/
filmListEntry:3192520110,"Lucky (2020) ",filmListEntry:3192520110,lucky-2020-1,https://letterboxd.com/film/lucky-2020-1/
filmListEntry:3192520111,"The Amityville Horror (2005) ",filmListEntry:3192520111,the-amityville-horror-2005,https://letterboxd.com/film/the-amityville-horror-2005/
filmListEntry:3199839581,"Censor (2021) ",filmListEntry:3199839581,censor-2021,https://letterboxd.com/film/censor-2021/
filmListEntry:3204332154,"The Faculty (1998) ",filmListEntry:3204332154,the-faculty,https://letterboxd.com/film/the-faculty/
