data-object-id,data-original-title,list_entry_id,film_slug,URL,tmdb_id,imdb_id,title,year
filmListEntry:3080978662,Ludo (2015) ,filmListEntry:3080978662,ludo-2015,https://letterboxd.com/film/ludo-2015/,349138,tt3724898,Ludo,
filmListEntry:3080978663,The Wicker Man (1973) ,filmListEntry:3080978663,the-wicker-man,https://letterboxd.com/film/the-wicker-man/,16307,tt0070917,The Wicker Man,
filmListEntry:3080978664,Hellraiser (1987) ,filmListEntry:3080978664,hellraiser,https://letterboxd.com/film/hellraiser/,9003,tt0093177,Hellraiser,
filmListEntry:3080978665,Hellbound: Hellraiser II (1988) ,filmListEntry:3080978665,hellbound-hellraiser-ii,https://letterboxd.com/film/hellbound-hellraiser-ii/,9064,tt0095294,Hellbound: Hellraiser II,
filmListEntry:3080978666,A Nightmare on Elm Street (1984) ,filmListEntry:3080978666,a-nightmare-on-elm-street,https://letterboxd.com/film/a-nightmare-on-elm-street/,377,tt0087800,A Nightmare on Elm Street,
filmListEntry:3080978667,A Nightmare on Elm Street 3: Dream Warriors (1987) ,filmListEntry:3080978667,a-nightmare-on-elm-street-3-dream-warriors,https://letterboxd.com/film/a-nightmare-on-elm-street-3-dream-warriors/,10072,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,
filmListEntry:3080978668,The Texas Chain Saw Massacre (1974) ,filmListEntry:3080978668,the-texas-chain-saw-massacre,https://letterboxd.com/film/the-texas-chain-saw-massacre/,30497,tt0072271,The Texas Chain Saw Massacre,
filmListEntry:3080978669,Halloween (1978) ,filmListEntry:3080978669,halloween-1978,https://letterboxd.com/film/halloween-1978/,948,tt0077651,Halloween,
filmListEntry:3080978670,Halloween II (1981) ,filmListEntry:3080978670,halloween-ii-1981,https://letterboxd.com/film/halloween-ii-1981/,11281,tt0082495,Halloween II,
filmListEntry:3080978671,Kill List (2011) ,filmListEntry:3080978671,kill-list,https://letterboxd.com/film/kill-list/,74725,tt1788391,Kill List,
filmListEntry:3080978672,Deep Red (1975) ,filmListEntry:3080978672,deep-red,https://letterboxd.com/film/deep-red/,20126,tt0073582,Deep Red,
filmListEntry:3080978673,Witchfinder General (1968) ,filmListEntry:3080978673,witchfinder-general,https://letterboxd.com/film/witchfinder-general/,31965,tt0063285,Witchfinder General,
filmListEntry:3080978674,Apostle (2018) ,filmListEntry:3080978674,apostle-2018,https://letterboxd.com/film/apostle-2018/,424121,tt6217306,Apostle,
filmListEntry:3080978675,Blair Witch (2016) ,filmListEntry:3080978675,blair-witch,https://letterboxd.com/film/blair-witch/,351211,tt1540011,Blair Witch,
filmListEntry:3080978676,Midsommar (2019) ,filmListEntry:3080978676,midsommar,https://letterboxd.com/film/midsommar/,530385,tt8772262,Midsommar,
filmListEntry:3080978677,Creep (2014) ,filmListEntry:3080978677,creep-2014,https://letterboxd.com/film/creep-2014/,250574,tt2428170,Creep,
filmListEntry:3080978678,The Descent (2005) ,filmListEntry:3080978678,the-descent,https://letterboxd.com/film/the-descent/,9392,tt0435625,The Descent,
filmListEntry:3080978679,Housebound (2014) ,filmListEntry:3080978679,housebound,https://letterboxd.com/film/housebound/,253306,tt3504048,Housebound,
filmListEntry:3080978680,Dead Ringers (1988) ,filmListEntry:3080978680,dead-ringers,https://letterboxd.com/film/dead-ringers/,9540,tt0094964,Dead Ringers,
filmListEntry:3080978681,Blood Quantum (2019) ,filmListEntry:3080978681,blood-quantum,https://letterboxd.com/film/blood-quantum/,592230,tt7394674,Blood Quantum,
filmListEntry:3080978682,I Still Know What You Did Last Summer (1998) ,filmListEntry:3080978682,i-still-know-what-you-did-last-summer,https://letterboxd.com/film/i-still-know-what-you-did-last-summer/,3600,tt0130018,I Still Know What You Did Last Summer,
filmListEntry:3080978683,Scream 4 (2011) ,filmListEntry:3080978683,scream-4,https://letterboxd.com/film/scream-4/,41446,tt1262416,Scream 4,
filmListEntry:3080978684,Final Destination (2000) ,filmListEntry:3080978684,final-destination,https://letterboxd.com/film/final-destination/,9532,tt0195714,Final Destination,
filmListEntry:3080978685,Paranormal Activity (2007) ,filmListEntry:3080978685,paranormal-activity,https://letterboxd.com/film/paranormal-activity/,23827,tt1179904,Paranormal Activity,
filmListEntry:3080978686,Paranormal Activity 3 (2011) ,filmListEntry:3080978686,paranormal-activity-3,https://letterboxd.com/film/paranormal-activity-3/,72571,tt1778304,Paranormal Activity 3,
filmListEntry:3080978687,Child's Play (1988) ,filmListEntry:3080978687,childs-play,https://letterboxd.com/film/childs-play/,10585,tt0094862,Child's Play,
filmListEntry:3080978688,Candyman (1992) ,filmListEntry:3080978688,candyman,https://letterboxd.com/film/candyman/,9529,tt0103919,Candyman,
filmListEntry:3080978689,Vampires vs. the Bronx (2020) ,filmListEntry:3080978689,vampires-vs-the-bronx,https://letterboxd.com/film/vampires-vs-the-bronx/,567971,tt8976576,Vampires vs. the Bronx,
filmListEntry:3080978690,We Summon the Darkness (2019) ,filmListEntry:3080978690,we-summon-the-darkness,https://letterboxd.com/film/we-summon-the-darkness/,546724,tt8058874,We Summon the Darkness,
filmListEntry:3080978691,His House (2020) ,filmListEntry:3080978691,his-house,https://letterboxd.com/film/his-house/,575774,tt8508734,His House,
filmListEntry:3080978692,Us (2019) ,filmListEntry:3080978692,us-2019,https://letterboxd.com/film/us-2019/,458723,tt6857112,Us,
filmListEntry:3080978693,1BR (2019) ,filmListEntry:3080978693,1br,https://letterboxd.com/film/1br/,611605,tt7541106,1BR,
filmListEntry:3080978694,Host (2020) ,filmListEntry:3080978694,host-2020,https://letterboxd.com/film/host-2020/,723072,tt12749596,Host,
filmListEntry:3080978695,Nightbreed (1990) ,filmListEntry:3080978695,nightbreed,https://letterboxd.com/film/nightbreed/,20481,tt0100260,Nightbreed,
filmListEntry:3080978696,Sweetheart (2019) ,filmListEntry:3080978696,sweetheart-2019,https://letterboxd.com/film/sweetheart-2019/,463843,tt6560164,Sweetheart,
filmListEntry:3080978697,Knife+Heart (2018) ,filmListEntry:3080978697,knife-heart,https://letterboxd.com/film/knife-heart/,475930,tt6426028,Knife+Heart,
filmListEntry:3080978698,Tremors (1990) ,filmListEntry:3080978698,tremors,https://letterboxd.com/film/tremors/,9362,tt0100814,Tremors,
filmListEntry:3080978699,Killer Klowns from Outer Space (1988) ,filmListEntry:3080978699,killer-klowns-from-outer-space,https://letterboxd.com/film/killer-klowns-from-outer-space/,16296,tt0095444,Killer Klowns from Outer Space,
filmListEntry:3080978700,Black Christmas (2019) ,filmListEntry:3080978700,black-christmas-2019,https://letterboxd.com/film/black-christmas-2019/,551808,tt10481868,Black Christmas,
filmListEntry:3080978701,The Silence of the Lambs (1991) ,filmListEntry:3080978701,the-silence-of-the-lambs,https://letterboxd.com/film/the-silence-of-the-lambs/,274,tt0102926,The Silence of the Lambs,
filmListEntry:3080978702,Possessor (2020) ,filmListEntry:3080978702,possessor,https://letterboxd.com/film/possessor/,435615,tt5918982,Possessor,
filmListEntry:3080978703,Impetigore (2019) ,filmListEntry:3080978703,impetigore,https://letterboxd.com/film/impetigore/,572468,tt9000302,Impetigore,
filmListEntry:3080978704,The Golem (2018) ,filmListEntry:3080978704,the-golem-2018,https://letterboxd.com/film/the-golem-2018/,532635,tt8329290,The Golem,
filmListEntry:3080978705,#Alive (2020) ,filmListEntry:3080978705,alive-2020,https://letterboxd.com/film/alive-2020/,614696,tt10620868,#Alive,
filmListEntry:3080978706,Happy Death Day (2017) ,filmListEntry:3080978706,happy-death-day,https://letterboxd.com/film/happy-death-day/,440021,tt5308322,Happy Death Day,
filmListEntry:3080978707,Wrong Turn (2021) ,filmListEntry:3080978707,wrong-turn-2021,https://letterboxd.com/film/wrong-turn-2021/,630586,tt9110170,Wrong Turn,
filmListEntry:3080978708,Cold Prey (2006) ,filmListEntry:3080978708,cold-prey,https://letterboxd.com/film/cold-prey/,21786,tt0808276,Cold Prey,
filmListEntry:3080978709,Cold Prey II (2008) ,filmListEntry:3080978709,cold-prey-ii,https://letterboxd.com/film/cold-prey-ii/,15440,tt1188990,Cold Prey II,
filmListEntry:3080978710,Disturbing Behavior (1998) ,filmListEntry:3080978710,disturbing-behavior,https://letterboxd.com/film/disturbing-behavior/,9424,tt0134619,Disturbing Behavior,
filmListEntry:3080978711,Soul Survivors (2001) ,filmListEntry:3080978711,soul-survivors,https://letterboxd.com/film/soul-survivors/,14033,tt0218619,Soul Survivors,
filmListEntry:3080978712,Society (1989) ,filmListEntry:3080978712,society,https://letterboxd.com/film/society/,22244,tt0098354,Society,
filmListEntry:3080978713,The Gate (1987) ,filmListEntry:3080978713,the-gate,https://letterboxd.com/film/the-gate/,6917,tt0093075,The Gate,
filmListEntry:3080978714,Daughters of Darkness (1971) ,filmListEntry:3080978714,daughters-of-darkness,https://letterboxd.com/film/daughters-of-darkness/,46175,tt0067690,Daughters of Darkness,
filmListEntry:3080978715,[REC] (2007) ,filmListEntry:3080978715,rec,https://letterboxd.com/film/rec/,8329,tt1038988,[REC],
filmListEntry:3080978716,The Cabin in the Woods (2011) ,filmListEntry:3080978716,the-cabin-in-the-woods,https://letterboxd.com/film/the-cabin-in-the-woods/,22970,tt1259521,The Cabin in the Woods,
